產品線,子產品/平台,網頁/工具,檔案,對應公開URL或路由,公開crawl狀態,資料來源URL,官方來源數,法源/引用筆數,待補常數來源筆數,待修正引用筆數,查證狀態,備註
民眾版,消費爭議權益計算平台,補習班退費試算（短期補習班定型化契約應記載事項）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/cram-school.html,https://consumer.choulegal.com/cram-school.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=24; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=252,2,22,10,0,待確認,法律常數/金額/比例有 10 筆尚待補官方來源。
民眾版,消費爭議權益計算平台,健身房終止契約退費（健身中心契約應記載事項）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/fitness.html,https://consumer.choulegal.com/fitness.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=17,1,6,2,0,待確認,法律常數/金額/比例有 2 筆尚待補官方來源。
民眾版,消費爭議權益計算平台,航班延誤／取消求償（國內線應記載事項 / 民航法 §47）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/flight-delay.html,https://consumer.choulegal.com/flight-delay.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=47,2,24,10,0,待確認,法律常數/金額/比例有 10 筆尚待補官方來源。
民眾版,消費爭議權益計算平台,生前殯葬契約退費（生前殯葬服務契約應記載事項）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/funeral.html,https://consumer.choulegal.com/funeral.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=51,1,6,4,0,待確認,法律常數/金額/比例有 4 筆尚待補官方來源。
民眾版,消費爭議權益計算平台,民事訴訟裁判費試算（民訴 §77-13）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/litigation-fee.html,https://consumer.choulegal.com/litigation-fee.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0010001&flno=77-13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=77-13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=77-16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=77-18; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=78; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=79,6,44,8,0,待確認,法律常數/金額/比例有 8 筆尚待補官方來源。
民眾版,消費爭議權益計算平台,美容／醫美療程退費爭議（美容與瘦身美容定型化契約）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/medical-beauty.html,https://consumer.choulegal.com/medical-beauty.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=77; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=11; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=17; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=195; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=21; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=22; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=51,8,22,2,0,待確認,法律常數/金額/比例有 2 筆尚待補官方來源。
民眾版,消費爭議權益計算平台,手機綁約解約違約金試算（行動通信定型化契約應記載事項）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/mobile-contract.html,https://consumer.choulegal.com/mobile-contract.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=11,1,14,2,0,待確認,法律常數/金額/比例有 2 筆尚待補官方來源。
民眾版,消費爭議權益計算平台,個資外洩求償（個資法 §29）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/pdpa-breach.html,https://consumer.choulegal.com/pdpa-breach.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=29; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=30; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=50,3,22,2,0,待確認,法律常數/金額/比例有 2 筆尚待補官方來源。
民眾版,消費爭議權益計算平台,網路標錯價爭議（民法 §86 / §88 / §153）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/price-mistake.html,https://consumer.choulegal.com/price-mistake.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=148; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=153; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=86; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=88; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=148; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=153; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=227; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=86; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=88,9,52,6,0,待確認,法律常數/金額/比例有 6 筆尚待補官方來源。
民眾版,消費爭議權益計算平台,禮券／儲值 業者倒閉求償（履約保證／信託）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/voucher-insolvency.html,https://consumer.choulegal.com/voucher-insolvency.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=I0020024&flno=10; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=17,3,16,2,0,待確認,法律常數/金額/比例有 2 筆尚待補官方來源。
民眾版,民法財產權／繼承贈與計算平台,贍養費試算｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/alimony.html,https://inheritance.choulegal.com/alimony.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1057; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1116-2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=125; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=126,4,34,4,0,待確認,法律常數/金額/比例有 4 筆尚待補官方來源。
