url,file,decision,official_source_urls,note
https://consumer.choulegal.com/consumer-letter.html,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/consumer-letter.html,verified_with_official_sources,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=249; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=493; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=494; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=495; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=19; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=19-2,第2批複查：頁面具體條號已對應官方來源。
ETP_PAGE:/[workspace]/notifications,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/(notifications-shell)/notifications/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/compliance-check,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/compliance-check/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/hrpro/civil-service/personnel-order,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/hrpro/civil-service/personnel-order/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/hrpro/health-check,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/hrpro/health-check/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/judgments,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/judgments/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/law-diff/[id],/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/law-diff/[id]/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/[workspace]/law-diff,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/[workspace]/law-diff/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/account,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/account/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/law-candidates,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/law-candidates/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/law-changes,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/law-changes/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/law-impact/[id],/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/law-impact/[id]/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/law-impact,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/law-impact/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
ETP_PAGE:/admin/waitlist,/Users/chouchunyeh/Desktop/choulegal/apps/etp/app/admin/waitlist/page.tsx,verified_no_concrete_source_required,,第2批複查：頁面未呈現具體條號、裁判字號、法律常數或可計算結果；屬入口/帳號/通知/導頁/政策或後台功能頁。
